Printing Modifier Definitions:
Tag: ai_require_cb_for_war, Categories: Country, , All, 
Tag: global_burghers_desired_pop, Categories: Country, , All, 
Tag: global_burghers_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_burghers_city_desired_pop, Categories: Country, , All, 
Tag: global_burghers_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_burghers_rural_desired_pop, Categories: Country, , All, 
Tag: global_burghers_migration_allowed, Categories: Country, , All, 
Tag: local_burghers_migration_allowed, Categories: Location, , All, 
Tag: local_burghers_max_literacy, Categories: Location, , All, 
Tag: global_burghers_max_literacy, Categories: Country, , All, 
Tag: local_peasants_desired_pop_scaled, Categories: Location, , All, 
Tag: local_peasants_desired_pop, Categories: Location, , All, 
Tag: global_peasants_desired_pop_scaled, Categories: Country, , All, 
Tag: global_peasants_desired_pop, Categories: Country, , All, 
Tag: global_peasants_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_peasants_city_desired_pop, Categories: Country, , All, 
Tag: global_peasants_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_peasants_rural_desired_pop, Categories: Country, , All, 
Tag: global_peasants_migration_allowed, Categories: Country, , All, 
Tag: local_peasants_migration_allowed, Categories: Location, , All, 
Tag: local_peasants_max_literacy, Categories: Location, , All, 
Tag: global_peasants_max_literacy, Categories: Country, , All, 
Tag: local_laborers_desired_pop_scaled, Categories: Location, , All, 
Tag: local_laborers_desired_pop, Categories: Location, , All, 
Tag: global_laborers_desired_pop_scaled, Categories: Country, , All, 
Tag: global_laborers_desired_pop, Categories: Country, , All, 
Tag: global_laborers_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_laborers_rural_desired_pop, Categories: Country, , All, 
Tag: global_laborers_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_laborers_city_desired_pop, Categories: Country, , All, 
Tag: global_laborers_migration_allowed, Categories: Country, , All, 
Tag: local_laborers_migration_allowed, Categories: Location, , All, 
Tag: local_laborers_max_literacy, Categories: Location, , All, 
Tag: global_laborers_max_literacy, Categories: Country, , All, 
Tag: local_soldiers_desired_pop_scaled, Categories: Location, , All, 
Tag: local_soldiers_desired_pop, Categories: Location, , All, 
Tag: global_soldiers_desired_pop_scaled, Categories: Country, , All, 
Tag: global_soldiers_desired_pop, Categories: Country, , All, 
Tag: global_soldiers_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_soldiers_rural_desired_pop, Categories: Country, , All, 
Tag: global_soldiers_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_soldiers_city_desired_pop, Categories: Country, , All, 
Tag: global_soldiers_migration_allowed, Categories: Country, , All, 
Tag: local_soldiers_migration_allowed, Categories: Location, , All, 
Tag: local_soldiers_max_literacy, Categories: Location, , All, 
Tag: global_soldiers_max_literacy, Categories: Country, , All, 
Tag: local_slaves_desired_pop_scaled, Categories: Location, , All, 
Tag: local_slaves_desired_pop, Categories: Location, , All, 
Tag: global_slaves_desired_pop_scaled, Categories: Country, , All, 
Tag: global_slaves_desired_pop, Categories: Country, , All, 
Tag: global_slaves_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_slaves_city_desired_pop, Categories: Country, , All, 
Tag: global_slaves_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_slaves_rural_desired_pop, Categories: Country, , All, 
Tag: global_slaves_migration_allowed, Categories: Country, , All, 
Tag: local_slaves_migration_allowed, Categories: Location, , All, 
Tag: local_slaves_max_literacy, Categories: Location, , All, 
Tag: global_slaves_max_literacy, Categories: Country, , All, 
Tag: local_tribesmen_desired_pop_scaled, Categories: Location, , All, 
Tag: local_tribesmen_desired_pop, Categories: Location, , All, 
Tag: global_tribesmen_desired_pop_scaled, Categories: Country, , All, 
Tag: global_tribesmen_desired_pop, Categories: Country, , All, 
Tag: global_tribesmen_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_tribesmen_city_desired_pop, Categories: Country, , All, 
Tag: global_tribesmen_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_tribesmen_rural_desired_pop, Categories: Country, , All, 
Tag: global_tribesmen_migration_allowed, Categories: Country, , All, 
Tag: local_tribesmen_migration_allowed, Categories: Location, , All, 
Tag: local_tribesmen_max_literacy, Categories: Location, , All, 
Tag: global_tribesmen_max_literacy, Categories: Country, , All, 
Tag: local_nobles_pop_growth, Categories: Location, , All, 
Tag: global_nobles_pop_growth, Categories: Country, , All, 
Tag: local_clergy_pop_growth, Categories: Location, , All, 
Tag: global_clergy_pop_growth, Categories: Country, , All, 
Tag: local_burghers_pop_growth, Categories: Location, , All, 
Tag: global_burghers_pop_growth, Categories: Country, , All, 
Tag: local_laborers_pop_growth, Categories: Location, , All, 
Tag: global_laborers_pop_growth, Categories: Country, , All, 
Tag: local_soldiers_pop_growth, Categories: Location, , All, 
Tag: global_soldiers_pop_growth, Categories: Country, , All, 
Tag: local_peasants_pop_growth, Categories: Location, , All, 
Tag: global_peasants_pop_growth, Categories: Country, , All, 
Tag: local_tribesmen_pop_growth, Categories: Location, , All, 
Tag: global_tribesmen_pop_growth, Categories: Country, , All, 
Tag: local_slaves_pop_growth, Categories: Location, , All, 
Tag: global_slaves_pop_growth, Categories: Country, , All, 
Tag: block_from_crown_estate, Categories: Character, , All, 
Tag: crown_estate_target_satisfaction, Categories: Country, , All, 
Tag: crown_estate_satisfaction_decay, Categories: Country, , All, 
Tag: crown_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: crown_estate_max_tax, Categories: Country, , All, 
Tag: crown_estate_min_tax, Categories: Country, , All, 
Tag: crown_estate_levy_size, Categories: Country, , All, 
Tag: local_crown_estate_power, Categories: Location, , All, 
Tag: crown_power_from_population, Categories: Country, , All, 
Tag: global_crown_estate_power, Categories: Country, , All, 
Tag: base_crown_estate_power_modifier, Categories: Country, , All, 
Tag: dhimmi_estate_target_satisfaction, Categories: Country, , All, 
Tag: dhimmi_estate_satisfaction_decay, Categories: Country, , All, 
Tag: dhimmi_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: dhimmi_estate_max_tax, Categories: Country, , All, 
Tag: dhimmi_estate_min_tax, Categories: Country, , All, 
Tag: dhimmi_estate_levy_size, Categories: Country, , All, 
Tag: local_dhimmi_estate_power, Categories: Location, , All, 
Tag: global_dhimmi_estate_power, Categories: Country, , All, 
Tag: base_dhimmi_estate_power_modifier, Categories: Country, , All, 
Tag: local_slaves_food_consumption, Categories: Location, , All, 
Tag: global_slaves_food_consumption, Categories: Country, , All, 
Tag: local_tribesmen_food_consumption, Categories: Location, , All, 
Tag: global_tribesmen_food_consumption, Categories: Country, , All, 
Tag: estate_satisfaction_from_building, Categories: Country, , All, 
Tag: global_estate_power, Categories: Country, , All, 
Tag: global_estate_target_satisfaction, Categories: Country, , All, 
Tag: global_estate_satisfaction_decay, Categories: Country, , All, 
Tag: global_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: global_estate_max_tax, Categories: Country, , All, 
Tag: global_estate_min_tax, Categories: Country, , All, 
Tag: global_pop_food_consumption, Categories: Country, , All, 
Tag: local_pop_food_consumption, Categories: Location, , All, 
Tag: global_food_decay, Categories: Country, , All, 
Tag: local_food_decay, Categories: Location, , All, 
Tag: local_food_decay_modifier, Categories: Location, , All, 
Tag: nobles_estate_target_satisfaction, Categories: Country, , All, 
Tag: nobles_estate_satisfaction_decay, Categories: Country, , All, 
Tag: nobles_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: nobles_estate_max_tax, Categories: Country, , All, 
Tag: nobles_estate_min_tax, Categories: Country, , All, 
Tag: nobles_estate_levy_size, Categories: Country, , All, 
Tag: local_nobles_estate_power, Categories: Location, , All, 
Tag: global_nobles_estate_power, Categories: Country, , All, 
Tag: base_nobles_estate_power_modifier, Categories: Country, , All, 
Tag: local_nobles_food_consumption, Categories: Location, , All, 
Tag: global_nobles_food_consumption, Categories: Country, , All, 
Tag: clergy_estate_target_satisfaction, Categories: Country, , All, 
Tag: clergy_estate_satisfaction_decay, Categories: Country, , All, 
Tag: clergy_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: clergy_estate_max_tax, Categories: Country, , All, 
Tag: clergy_estate_min_tax, Categories: Country, , All, 
Tag: clergy_estate_levy_size, Categories: Country, , All, 
Tag: local_clergy_estate_power, Categories: Location, , All, 
Tag: global_clergy_estate_power, Categories: Country, , All, 
Tag: base_clergy_estate_power_modifier, Categories: Country, , All, 
Tag: local_clergy_food_consumption, Categories: Location, , All, 
Tag: global_clergy_food_consumption, Categories: Country, , All, 
Tag: burghers_estate_target_satisfaction, Categories: Country, , All, 
Tag: burghers_estate_satisfaction_decay, Categories: Country, , All, 
Tag: burghers_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: burghers_estate_max_tax, Categories: Country, , All, 
Tag: burghers_estate_min_tax, Categories: Country, , All, 
Tag: burghers_estate_levy_size, Categories: Country, , All, 
Tag: local_burghers_estate_power, Categories: Location, , All, 
Tag: global_burghers_estate_power, Categories: Country, , All, 
Tag: base_burghers_estate_power_modifier, Categories: Country, , All, 
Tag: local_burghers_food_consumption, Categories: Location, , All, 
Tag: global_burghers_food_consumption, Categories: Country, , All, 
Tag: peasants_estate_target_satisfaction, Categories: Country, , All, 
Tag: peasants_estate_satisfaction_decay, Categories: Country, , All, 
Tag: peasants_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: peasants_estate_max_tax, Categories: Country, , All, 
Tag: peasants_estate_min_tax, Categories: Country, , All, 
Tag: peasants_estate_levy_size, Categories: Country, , All, 
Tag: local_peasants_estate_power, Categories: Location, , All, 
Tag: global_peasants_estate_power, Categories: Country, , All, 
Tag: base_peasants_estate_power_modifier, Categories: Country, , All, 
Tag: local_peasants_food_consumption, Categories: Location, , All, 
Tag: global_peasants_food_consumption, Categories: Country, , All, 
Tag: local_laborers_food_consumption, Categories: Location, , All, 
Tag: global_laborers_food_consumption, Categories: Country, , All, 
Tag: local_soldiers_food_consumption, Categories: Location, , All, 
Tag: global_soldiers_food_consumption, Categories: Country, , All, 
Tag: crown_estate_cannot_marry, Categories: Country, , All, 
Tag: nobles_estate_cannot_marry, Categories: Country, , All, 
Tag: clergy_estate_cannot_marry, Categories: Country, , All, 
Tag: burghers_estate_cannot_marry, Categories: Country, , All, 
Tag: peasants_estate_cannot_marry, Categories: Country, , All, 
Tag: dhimmi_estate_cannot_marry, Categories: Country, , All, 
Tag: empty_unit_maintenance_cost_modifier, Categories: Country, , All, 
Tag: change_heir_selection_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_mining_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_farming_cost_modifier, Categories: Country, , All, 
Tag: expand_aqueduct_system_cost_modifier, Categories: Country, , All, 
Tag: build_hippodrome_price_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_hunting_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_gathering_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_forestry_cost_modifier, Categories: Country, , All, 
Tag: embrace_institution_cost_modifier, Categories: Country, , All, 
Tag: grant_privilege_cost_modifier, Categories: Country, , All, 
Tag: create_supply_depot_cost_modifier, Categories: Country, , All, 
Tag: remove_government_reform_cost_modifier, Categories: Country, , All, 
Tag: set_cabine_action_cost_modifier, Categories: Country, , All, 
Tag: set_cabinet_member_cost_modifier, Categories: Country, , All, 
Tag: replace_cabinet_member_cost_modifier, Categories: Country, , All, 
Tag: set_policy_cost_modifier, Categories: Country, , All, 
Tag: change_policy_cost_modifier, Categories: Country, , All, 
Tag: declaring_war_cost_modifier, Categories: Country, , All, 
Tag: honoring_alliance_call_cost_modifier, Categories: Country, , All, 
Tag: war_breaking_truce_cost_modifier, Categories: Country, , All, 
Tag: war_breaking_truce_with_guarantor_cost_modifier, Categories: Country, , All, 
Tag: war_great_relations_cost_modifier, Categories: Country, , All, 
Tag: war_good_relations_cost_modifier, Categories: Country, , All, 
Tag: war_when_military_acces_cost_modifier, Categories: Country, , All, 
Tag: war_no_cb_cost_modifier, Categories: Country, , All, 
Tag: war_on_subject_cost_modifier, Categories: Country, , All, 
Tag: war_on_same_religion_cb_cost_modifier, Categories: Country, , All, 
Tag: war_on_same_religion_no_cb_cost_modifier, Categories: Country, , All, 
Tag: war_on_different_religion_cost_modifier, Categories: Country, , All, 
Tag: send_gift_cost_modifier, Categories: Country, , All, 
Tag: replace_rival_cost_modifier, Categories: Country, , All, 
Tag: create_colonial_charter_cost_modifier, Categories: Country, , All, 
Tag: abandon_colonial_charter_cost_modifier, Categories: Country, , All, 
Tag: capital_movement_cost_modifier, Categories: Country, , All, 
Tag: set_province_capital_cost_modifier, Categories: Country, , All, 
Tag: create_market_cost_modifier, Categories: Country, , All, 
Tag: relocate_market_cost_modifier, Categories: Country, , All, 
Tag: hire_advisor_cost_modifier, Categories: Country, , All, 
Tag: hire_artist_cost_modifier, Categories: Country, , All, 
Tag: train_general_cost_modifier, Categories: Country, , All, 
Tag: train_admiral_cost_modifier, Categories: Country, , All, 
Tag: invite_foreign_cleric_cost_modifier, Categories: Country, , All, 
Tag: select_omen_god_cost_modifier, Categories: Country, , All, 
Tag: host_olympiad_cost_modifier, Categories: Country, , All, 
Tag: sponsor_troop_feast_cost_modifier, Categories: Country, , All, 
Tag: grant_a_triumph_cost_modifier, Categories: Country, , All, 
Tag: roman_festivals_cost_modifier, Categories: Country, , All, 
Tag: greek_festivals_cost_modifier, Categories: Country, , All, 
Tag: destroy_market_cost_modifier, Categories: Country, , All, 
Tag: change_court_language_cost_modifier, Categories: Country, , All, 
Tag: change_liturgical_language_cost_modifier, Categories: Country, , All, 
Tag: invite_religious_figure_same_school_cost_modifier, Categories: Country, , All, 
Tag: invite_religious_figure_different_school_cost_modifier, Categories: Country, , All, 
Tag: dismiss_religious_figure_cost_modifier, Categories: Country, , All, 
Tag: propose_curia_action_cost_modifier, Categories: Country, , All, 
Tag: change_curia_vote_cost_modifier, Categories: Country, , All, 
Tag: invite_artist_cost_modifier, Categories: Country, , All, 
Tag: convert_religion_cost_modifier, Categories: Country, , All, 
Tag: policy_vote_cost_modifier, Categories: Country, , All, 
Tag: orthodox_synod_cost_modifier, Categories: Country, , All, 
Tag: periphora_cost_modifier, Categories: Country, , All, 
Tag: invite_patriarch_delegation_cost_modifier, Categories: Country, , All, 
Tag: canonize_cost_modifier, Categories: Country, , All, 
Tag: change_parliament_type_cost_modifier, Categories: Country, , All, 
Tag: change_organization_parliament_type_cost_modifier, Categories: Country, , All, 
Tag: add_accepted_culture_cost_modifier, Categories: Country, , All, 
Tag: remove_accepted_culture_cost_modifier, Categories: Country, , All, 
Tag: add_tolerated_culture_cost_modifier, Categories: Country, , All, 
Tag: remove_tolerated_culture_cost_modifier, Categories: Country, , All, 
Tag: accepted_culture_maintenance_cost_modifier, Categories: Country, , All, 
Tag: tolerated_culture_maintenance_cost_modifier, Categories: Country, , All, 
Tag: change_primary_culture_cost_modifier, Categories: Country, , All, 
Tag: settle_country_cost_modifier, Categories: Country, , All, 
Tag: extend_regency_cost_modifier, Categories: Country, , All, 
Tag: hire_privateer_cost_modifier, Categories: Country, , All, 
Tag: dismiss_privateer_cost_modifier, Categories: Country, , All, 
Tag: privateer_maintenance_cost_modifier, Categories: Country, , All, 
Tag: select_expensive_child_education_cost_modifier, Categories: Country, , All, 
Tag: deselect_expensive_child_education_cost_modifier, Categories: Country, , All, 
Tag: select_orthodox_education_cost_modifier, Categories: Country, , All, 
Tag: deselect_orthodox_education_cost_modifier, Categories: Country, , All, 
Tag: start_exploration_land_cost_modifier, Categories: Country, , All, 
Tag: start_exploration_sea_cost_modifier, Categories: Country, , All, 
Tag: recruit_explorer_cost_modifier, Categories: Country, , All, 
Tag: megalopolis_upgrade_cost_modifier, Categories: Country, , All, 
Tag: city_upgrade_cost_modifier, Categories: Country, , All, 
Tag: town_upgrade_cost_modifier, Categories: Country, , All, 
Tag: rural_settlement_upgrade_cost_modifier, Categories: Country, , All, 
Tag: rural_settlement_downgrade_cost_modifier, Categories: Country, , All, 
Tag: hre_army_building_cost_modifier, Categories: Country, , All, 
Tag: hre_imperial_armory_level, Categories: InternationalOrganization, , All, 
Tag: global_foreign_build_buildings_efficiency, Categories: Country, , All, 
Tag: small_estate_building_cost_modifier, Categories: Country, , All, 
Tag: expensive_estate_building_cost_modifier, Categories: Country, , All, 
Tag: orthodox_monastery_building_cost_modifier, Categories: Country, , All, 
Tag: miaphysite_monastery_building_cost_modifier, Categories: Country, , All, 
Tag: free_building_cost_modifier, Categories: Country, , All, 
Tag: remove_panaqa_early_cost_modifier, Categories: Country, , All, 
Tag: merchant_guild_chapel_price_cost_modifier, Categories: Country, , All, 
Tag: remove_lutheran_preacher_cost_modifier, Categories: Country, , All, 
Tag: army_light_infantry_build_cost_modifier, Categories: Country, , All, 
Tag: army_light_infantry_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_light_infantry_maintenance_cost_modifier, Categories: Country, , All, 
Tag: army_heavy_infantry_build_cost_modifier, Categories: Country, , All, 
Tag: army_heavy_infantry_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_heavy_infantry_maintenance_cost_modifier, Categories: Country, , All, 
Tag: army_light_cavalry_build_cost_modifier, Categories: Country, , All, 
Tag: army_heavy_cavalry_build_cost_modifier, Categories: Country, , All, 
Tag: army_artillery_build_cost_modifier, Categories: Country, , All, 
Tag: army_artillery_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_artillery_maintenance_cost_modifier, Categories: Country, , All, 
Tag: army_auxiliary_build_cost_modifier, Categories: Country, , All, 
Tag: army_auxiliary_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_auxiliary_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_heavy_ship_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_heavy_ship_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_light_ship_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_light_ship_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_galley_build_cost_modifier, Categories: Country, , All, 
Tag: navy_galley_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_galley_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_transport_build_cost_modifier, Categories: Country, , All, 
